DATA,DERIVATIVO,PARTICIPANTE,LONGCONTRACTS,LONG_,SHORTCONTRACTS,SHORT_,SALDO
04/01/2010,US DOLLAR FUTURES,Financial Institutions,183939.0,33.54,329450.0,60.07,-145511.0
04/01/2010,US DOLLAR FUTURES,Banks,147009.0,26.8,329180.0,60.02,-182171.0
04/01/2010,US DOLLAR FUTURES,Brokers & Dealers,220.0,0.04,180.0,0.03,40.0
04/01/2010,US DOLLAR FUTURES,Other,36710.0,6.69,90.0,0.02,36620.0
04/01/2010,US DOLLAR FUTURES,Institutional Investors,113230.0,20.65,93782.0,17.1,19448.0
04/01/2010,US DOLLAR FUTURES,Domestic,113230.0,20.65,93782.0,17.1,19448.0
04/01/2010,US DOLLAR FUTURES,Nonresident Investors,213597.0,38.94,107304.0,19.56,106293.0
04/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,213597.0,38.94,107304.0,19.56,106293.0
04/01/2010,US DOLLAR FUTURES,Corporations,36900.0,6.73,17515.0,3.19,19385.0
04/01/2010,US DOLLAR FUTURES,Individuals,795.0,0.14,410.0,0.07,385.0
04/01/2010,US DOLLAR FUTURES,Total,548461.0,100.0,548461.0,100.0,0.0
05/01/2010,US DOLLAR FUTURES,Financial Institutions,190979.0,34.3,323520.0,58.1,-132541.0
05/01/2010,US DOLLAR FUTURES,Banks,154064.0,27.67,323275.0,58.06,-169211.0
05/01/2010,US DOLLAR FUTURES,Brokers & Dealers,205.0,0.04,155.0,0.03,50.0
05/01/2010,US DOLLAR FUTURES,Other,36710.0,6.59,90.0,0.02,36620.0
05/01/2010,US DOLLAR FUTURES,Institutional Investors,111704.0,20.06,95470.0,17.15,16234.0
05/01/2010,US DOLLAR FUTURES,Domestic,111704.0,20.06,95470.0,17.15,16234.0
05/01/2010,US DOLLAR FUTURES,Nonresident Investors,216996.0,38.97,120149.0,21.58,96847.0
05/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,216996.0,38.97,120149.0,21.58,96847.0
05/01/2010,US DOLLAR FUTURES,Corporations,36360.0,6.53,17265.0,3.1,19095.0
05/01/2010,US DOLLAR FUTURES,Individuals,755.0,0.14,390.0,0.07,365.0
05/01/2010,US DOLLAR FUTURES,Total,556794.0,100.0,556794.0,100.0,0.0
06/01/2010,US DOLLAR FUTURES,Financial Institutions,199744.0,34.0,323355.0,55.04,-123611.0
06/01/2010,US DOLLAR FUTURES,Banks,162799.0,27.71,323135.0,55.0,-160336.0
06/01/2010,US DOLLAR FUTURES,Brokers & Dealers,235.0,0.04,130.0,0.02,105.0
06/01/2010,US DOLLAR FUTURES,Other,36710.0,6.25,90.0,0.02,36620.0
06/01/2010,US DOLLAR FUTURES,Institutional Investors,123135.0,20.96,110760.0,18.85,12375.0
06/01/2010,US DOLLAR FUTURES,Domestic,123135.0,20.96,110760.0,18.85,12375.0
