DATA;PARTICIPANTE;SALDO;ACUMULADO
22/09/2011;Individuals;0.0;0.0
22/09/2011;Total;0.0;0.0
23/09/2011;Individuals;0.0;0.0
23/09/2011;Total;0.0;0.0
26/09/2011;Corporations;-2.0;-2.0
26/09/2011;Individuals;2.0;2.0
26/09/2011;Total;0.0;0.0
27/09/2011;Institutional Investors;5.0;5.0
27/09/2011;Domestic;5.0;5.0
27/09/2011;Corporations;-22.0;-24.0
27/09/2011;Individuals;17.0;19.0
27/09/2011;Total;0.0;0.0
28/09/2011;Institutional Investors;5.0;10.0
28/09/2011;Domestic;5.0;10.0
28/09/2011;Corporations;-63.0;-87.0
28/09/2011;Individuals;58.0;77.0
28/09/2011;Total;0.0;0.0
29/09/2011;Financial Institutions;-18.0;-18.0
29/09/2011;Brokers & Dealers;-12.0;-12.0
29/09/2011;Other;-6.0;-6.0
29/09/2011;Institutional Investors;-30.0;-20.0
29/09/2011;Domestic;-30.0;-20.0
29/09/2011;Nonresident Investors;13.0;13.0
29/09/2011;Nonresident investors - RES.2689;13.0;13.0
29/09/2011;Corporations;-98.0;-185.0
29/09/2011;Individuals;133.0;210.0
29/09/2011;Total;0.0;0.0
30/09/2011;Financial Institutions;91.0;73.0
30/09/2011;Banks;124.0;124.0
30/09/2011;Brokers & Dealers;-27.0;-39.0
30/09/2011;Other;-6.0;-12.0
30/09/2011;Institutional Investors;290.0;270.0
30/09/2011;Domestic;290.0;270.0
30/09/2011;Nonresident Investors;-49.0;-36.0
30/09/2011;Nonresident investors - RES.2689;-49.0;-36.0
30/09/2011;Corporations;-105.0;-290.0
30/09/2011;Individuals;-227.0;-17.0
30/09/2011;Total;0.0;0.0
03/10/2011;Financial Institutions;948.0;1021.0
03/10/2011;Banks;662.0;786.0
03/10/2011;Brokers & Dealers;242.0;203.0
03/10/2011;Other;44.0;32.0
03/10/2011;Institutional Investors;690.0;960.0
03/10/2011;Domestic;690.0;960.0
03/10/2011;Nonresident Investors;-99.0;-135.0
03/10/2011;Nonresident investors - RES.2689;-99.0;-135.0
03/10/2011;Corporations;-12.0;-302.0
03/10/2011;Individuals;-1527.0;-1544.0
03/10/2011;Total;0.0;0.0
04/10/2011;Financial Institutions;1103.0;2124.0
04/10/2011;Banks;751.0;1537.0
04/10/2011;Brokers & Dealers;158.0;361.0
04/10/2011;Other;194.0;226.0
04/10/2011;Institutional Investors;282.0;1242.0
04/10/2011;Domestic;282.0;1242.0
04/10/2011;Nonresident Investors;101.0;-34.0
04/10/2011;Nonresident investors - RES.2689;101.0;-34.0
04/10/2011;Corporations;-12.0;-314.0
04/10/2011;Individuals;-1474.0;-3018.0
04/10/2011;Total;0.0;0.0
05/10/2011;Financial Institutions;1064.0;3188.0
05/10/2011;Banks;852.0;2389.0
05/10/2011;Brokers & Dealers;218.0;579.0
05/10/2011;Other;-6.0;220.0
05/10/2011;Institutional Investors;191.0;1433.0
05/10/2011;Domestic;191.0;1433.0
05/10/2011;Nonresident Investors;-101.0;-135.0
05/10/2011;Nonresident investors - RES.2689;-101.0;-135.0
05/10/2011;Corporations;5.0;-309.0
05/10/2011;Individuals;-1159.0;-4177.0
05/10/2011;Total;0.0;0.0
06/10/2011;Financial Institutions;1383.0;4571.0
06/10/2011;Banks;1038.0;3427.0
06/10/2011;Brokers & Dealers;351.0;930.0
06/10/2011;Other;-6.0;214.0
06/10/2011;Institutional Investors;-1086.0;347.0
06/10/2011;Domestic;-1086.0;347.0
06/10/2011;Nonresident Investors;1.0;-134.0
