DATA;PARTICIPANTE;SALDO;ACUMULADO
22/09/2011;Individuals;0;0
22/09/2011;Total;0;0
23/09/2011;Individuals;0;0
23/09/2011;Total;0;0
26/09/2011;Corporations;-2;-2
26/09/2011;Individuals;2;2
26/09/2011;Total;0;0
27/09/2011;Institutional Investors;5;5
27/09/2011;Domestic;5;5
27/09/2011;Corporations;-22;-24
27/09/2011;Individuals;17;19
27/09/2011;Total;0;0
28/09/2011;Institutional Investors;5;10
28/09/2011;Domestic;5;10
28/09/2011;Corporations;-63;-87
28/09/2011;Individuals;58;77
28/09/2011;Total;0;0
29/09/2011;Financial Institutions;-18;-18
29/09/2011;Brokers & Dealers;-12;-12
29/09/2011;Other;-6;-6
29/09/2011;Institutional Investors;-30;-20
29/09/2011;Domestic;-30;-20
29/09/2011;Nonresident Investors;13;13
29/09/2011;Nonresident investors - RES.2689;13;13
29/09/2011;Corporations;-98;-185
29/09/2011;Individuals;133;210
29/09/2011;Total;0;0
30/09/2011;Financial Institutions;91;73
30/09/2011;Banks;124;124
30/09/2011;Brokers & Dealers;-27;-39
30/09/2011;Other;-6;-12
30/09/2011;Institutional Investors;290;270
30/09/2011;Domestic;290;270
30/09/2011;Nonresident Investors;-49;-36
30/09/2011;Nonresident investors - RES.2689;-49;-36
30/09/2011;Corporations;-105;-290
30/09/2011;Individuals;-227;-17
30/09/2011;Total;0;0
03/10/2011;Financial Institutions;948;1021
03/10/2011;Banks;662;786
03/10/2011;Brokers & Dealers;242;203
03/10/2011;Other;44;32
03/10/2011;Institutional Investors;690;960
03/10/2011;Domestic;690;960
03/10/2011;Nonresident Investors;-99;-135
03/10/2011;Nonresident investors - RES.2689;-99;-135
03/10/2011;Corporations;-12;-302
03/10/2011;Individuals;-1527;-1544
03/10/2011;Total;0;0
04/10/2011;Financial Institutions;1103;2124
04/10/2011;Banks;751;1537
04/10/2011;Brokers & Dealers;158;361
04/10/2011;Other;194;226
04/10/2011;Institutional Investors;282;1242
04/10/2011;Domestic;282;1242
04/10/2011;Nonresident Investors;101;-34
04/10/2011;Nonresident investors - RES.2689;101;-34
04/10/2011;Corporations;-12;-314
04/10/2011;Individuals;-1474;-3018
04/10/2011;Total;0;0
05/10/2011;Financial Institutions;1064;3188
05/10/2011;Banks;852;2389
05/10/2011;Brokers & Dealers;218;579
05/10/2011;Other;-6;220
05/10/2011;Institutional Investors;191;1433
05/10/2011;Domestic;191;1433
05/10/2011;Nonresident Investors;-101;-135
05/10/2011;Nonresident investors - RES.2689;-101;-135
05/10/2011;Corporations;5;-309
05/10/2011;Individuals;-1159;-4177
05/10/2011;Total;0;0
06/10/2011;Financial Institutions;1383;4571
06/10/2011;Banks;1038;3427
06/10/2011;Brokers & Dealers;351;930
06/10/2011;Other;-6;214
06/10/2011;Institutional Investors;-1086;347
06/10/2011;Domestic;-1086;347
06/10/2011;Nonresident Investors;1;-134
06/10/2011;Nonresident investors - RES.2689;1;-134
06/10/2011;Corporations;57;-252
06/10/2011;Individuals;-355;-4532
06/10/2011;Total;0;0
07/10/2011;Financial Institutions;1532;6103
07/10/2011;Banks;947;4374
07/10/2011;Brokers & Dealers;591;1521
07/10/2011;Other;-6;208
07/10/2011;Institutional Investors;-1242;-895
07/10/2011;Domestic;-1242;-895
07/10/2011;Nonresident Investors;164;30
07/10/2011;Nonresident investors - RES.2689;164;30
07/10/2011;Corporations;49;-203
07/10/2011;Individuals;-503;-5035
07/10/2011;Total;0;0
10/10/2011;Financial Institutions;1505;7608
10/10/2011;Banks;891;5265
10/10/2011;Brokers & Dealers;620;2141
10/10/2011;Other;-6;202
10/10/2011;Institutional Investors;-1042;-1937
10/10/2011;Domestic;-1042;-1937
10/10/2011;Nonresident Investors;188;218
10/10/2011;Nonresident investors - RES.2689;188;218
10/10/2011;Corporations;43;-160
10/10/2011;Individuals;-694;-5729
10/10/2011;Total;0;0
11/10/2011;Financial Institutions;1515;9123
11/10/2011;Banks;926;6191
11/10/2011;Brokers & Dealers;595;2736
11/10/2011;Other;-6;196
11/10/2011;Institutional Investors;-1353;-3290
11/10/2011;Domestic;-1353;-3290
11/10/2011;Nonresident Investors;155;373
11/10/2011;Nonresident investors - RES.2689;155;373
11/10/2011;Corporations;83;-77
11/10/2011;Individuals;-400;-6129
11/10/2011;Total;0;0
13/10/2011;Financial Institutions;1493;10616
13/10/2011;Banks;902;7093
13/10/2011;Brokers & Dealers;597;3333
13/10/2011;Other;-6;190
13/10/2011;Institutional Investors;-1538;-4828
13/10/2011;Domestic;-1538;-4828
13/10/2011;Nonresident Investors;103;476
13/10/2011;Nonresident investors - RES.2689;103;476
13/10/2011;Corporations;163;86
13/10/2011;Individuals;-221;-6350
13/10/2011;Total;0;0
14/10/2011;Financial Institutions;1170;11786
14/10/2011;Banks;741;7834
14/10/2011;Brokers & Dealers;435;3768
14/10/2011;Other;-6;184
14/10/2011;Institutional Investors;-1481;-6309
14/10/2011;Domestic;-1481;-6309
14/10/2011;Nonresident Investors;138;614
14/10/2011;Nonresident investors - RES.2689;138;614
14/10/2011;Corporations;223;309
14/10/2011;Individuals;-50;-6400
14/10/2011;Total;0;0
17/10/2011;Financial Institutions;1233;13019
17/10/2011;Banks;909;8743
17/10/2011;Brokers & Dealers;330;4098
17/10/2011;Other;-6;178
17/10/2011;Institutional Investors;-1220;-7529
17/10/2011;Domestic;-1220;-7529
17/10/2011;Nonresident Investors;-419;195
17/10/2011;Nonresident investors - RES.2689;-419;195
17/10/2011;Corporations;122;431
17/10/2011;Individuals;284;-6116
17/10/2011;Total;0;0
18/10/2011;Financial Institutions;1384;14403
18/10/2011;Banks;948;9691
18/10/2011;Brokers & Dealers;442;4540
18/10/2011;Other;-6;172
18/10/2011;Institutional Investors;-1571;-9100
18/10/2011;Domestic;-1571;-9100
18/10/2011;Nonresident Investors;-268;-73
18/10/2011;Nonresident investors - RES.2689;-268;-73
18/10/2011;Corporations;131;562
18/10/2011;Individuals;324;-5792
18/10/2011;Total;0;0
19/10/2011;Financial Institutions;1507;15910
19/10/2011;Banks;901;10592
19/10/2011;Brokers & Dealers;612;5152
19/10/2011;Other;-6;166
19/10/2011;Institutional Investors;-1310;-10410
19/10/2011;Domestic;-1310;-10410
19/10/2011;Nonresident Investors;-361;-434
19/10/2011;Nonresident investors - RES.2689;-361;-434
19/10/2011;Corporations;103;665
19/10/2011;Individuals;61;-5731
19/10/2011;Total;0;0
20/10/2011;Financial Institutions;1268;17178
20/10/2011;Banks;715;11307
20/10/2011;Brokers & Dealers;559;5711
20/10/2011;Other;-6;160
20/10/2011;Institutional Investors;-948;-11358
20/10/2011;Domestic;-948;-11358
20/10/2011;Nonresident Investors;-428;-862
20/10/2011;Nonresident investors - RES.2689;-428;-862
20/10/2011;Corporations;110;775
20/10/2011;Individuals;-2;-5733
20/10/2011;Total;0;0
21/10/2011;Financial Institutions;1063;18241
21/10/2011;Banks;600;11907
21/10/2011;Brokers & Dealers;469;6180
21/10/2011;Other;-6;154
21/10/2011;Institutional Investors;-855;-12213
21/10/2011;Domestic;-855;-12213
21/10/2011;Nonresident Investors;-309;-1171
21/10/2011;Nonresident investors - RES.2689;-309;-1171
21/10/2011;Corporations;31;806
21/10/2011;Individuals;70;-5663
21/10/2011;Total;0;0
24/10/2011;Financial Institutions;1050;19291
24/10/2011;Banks;403;12310
24/10/2011;Brokers & Dealers;653;6833
24/10/2011;Other;-6;148
24/10/2011;Institutional Investors;-1370;-13583
24/10/2011;Domestic;-1370;-13583
24/10/2011;Nonresident Investors;249;-922
24/10/2011;Nonresident investors - RES.2689;249;-922
24/10/2011;Corporations;130;936
24/10/2011;Individuals;-59;-5722
24/10/2011;Total;0;0
25/10/2011;Financial Institutions;899;20190
25/10/2011;Banks;235;12545
25/10/2011;Brokers & Dealers;670;7503
25/10/2011;Other;-6;142
25/10/2011;Institutional Investors;-1300;-14883
25/10/2011;Domestic;-1300;-14883
25/10/2011;Nonresident Investors;1292;370
25/10/2011;Nonresident investors - RES.2689;1292;370
25/10/2011;Corporations;64;1000
25/10/2011;Individuals;-955;-6677
25/10/2011;Total;0;0
26/10/2011;Financial Institutions;528;20718
26/10/2011;Banks;49;12594
26/10/2011;Brokers & Dealers;485;7988
26/10/2011;Other;-6;136
26/10/2011;Institutional Investors;-1401;-16284
26/10/2011;Domestic;-1401;-16284
26/10/2011;Nonresident Investors;1320;1690
26/10/2011;Nonresident investors - RES.2689;1320;1690
26/10/2011;Corporations;78;1078
26/10/2011;Individuals;-525;-7202
26/10/2011;Total;0;0
27/10/2011;Financial Institutions;219;20937
27/10/2011;Banks;75;12669
27/10/2011;Brokers & Dealers;150;8138
27/10/2011;Other;-6;130
27/10/2011;Institutional Investors;-2690;-18974
27/10/2011;Domestic;-2690;-18974
27/10/2011;Nonresident Investors;1944;3634
27/10/2011;Nonresident investors - RES.2689;1944;3634
27/10/2011;Corporations;249;1327
27/10/2011;Individuals;278;-6924
27/10/2011;Total;0;0
28/10/2011;Financial Institutions;580;21517
28/10/2011;Banks;279;12948
28/10/2011;Brokers & Dealers;307;8445
28/10/2011;Other;-6;124
28/10/2011;Institutional Investors;-2394;-21368
28/10/2011;Domestic;-2394;-21368
28/10/2011;Nonresident Investors;1810;5444
28/10/2011;Nonresident investors - RES.2689;1810;5444
28/10/2011;Corporations;277;1604
28/10/2011;Individuals;-273;-7197
28/10/2011;Total;0;0
31/10/2011;Financial Institutions;163;21680
31/10/2011;Banks;-127;12821
31/10/2011;Brokers & Dealers;296;8741
31/10/2011;Other;-6;118
31/10/2011;Institutional Investors;-2305;-23673
31/10/2011;Domestic;-2305;-23673
31/10/2011;Nonresident Investors;2315;7759
31/10/2011;Nonresident investors - RES.2689;2315;7759
31/10/2011;Corporations;252;1856
31/10/2011;Individuals;-425;-7622
31/10/2011;Total;0;0
01/11/2011;Financial Institutions;-935;20745
01/11/2011;Banks;-646;12175
01/11/2011;Brokers & Dealers;-283;8458
01/11/2011;Other;-6;112
01/11/2011;Institutional Investors;-221;-23894
01/11/2011;Domestic;-221;-23894
01/11/2011;Nonresident Investors;1200;8959
01/11/2011;Nonresident investors - RES.2689;1200;8959
01/11/2011;Corporations;205;2061
01/11/2011;Individuals;-249;-7871
01/11/2011;Total;0;0
03/11/2011;Financial Institutions;-1074;19671
03/11/2011;Banks;-678;11497
03/11/2011;Brokers & Dealers;-390;8068
03/11/2011;Other;-6;106
03/11/2011;Institutional Investors;-1170;-25064
03/11/2011;Domestic;-1170;-25064
03/11/2011;Nonresident Investors;1344;10303
03/11/2011;Nonresident investors - RES.2689;1344;10303
03/11/2011;Corporations;-49;2012
03/11/2011;Individuals;949;-6922
03/11/2011;Total;0;0
04/11/2011;Financial Institutions;-751;18920
04/11/2011;Banks;-579;10918
04/11/2011;Brokers & Dealers;-166;7902
04/11/2011;Other;-6;100
04/11/2011;Institutional Investors;-970;-26034
04/11/2011;Domestic;-970;-26034
04/11/2011;Nonresident Investors;1394;11697
04/11/2011;Nonresident investors - RES.2689;1394;11697
04/11/2011;Corporations;-56;1956
04/11/2011;Individuals;383;-6539
04/11/2011;Total;0;0
07/11/2011;Financial Institutions;-922;17998
07/11/2011;Banks;-672;10246
07/11/2011;Brokers & Dealers;-244;7658
07/11/2011;Other;-6;94
07/11/2011;Institutional Investors;-984;-27018
07/11/2011;Domestic;-984;-27018
07/11/2011;Nonresident Investors;1547;13244
07/11/2011;Nonresident investors - RES.2689;1547;13244
07/11/2011;Corporations;-70;1886
07/11/2011;Individuals;429;-6110
07/11/2011;Total;0;0
08/11/2011;Financial Institutions;-963;17035
08/11/2011;Banks;-724;9522
08/11/2011;Brokers & Dealers;-233;7425
08/11/2011;Other;-6;88
08/11/2011;Institutional Investors;-961;-27979
08/11/2011;Domestic;-961;-27979
08/11/2011;Nonresident Investors;1419;14663
08/11/2011;Nonresident investors - RES.2689;1419;14663
08/11/2011;Corporations;-41;1845
08/11/2011;Individuals;546;-5564
08/11/2011;Total;0;0
09/11/2011;Financial Institutions;-881;16154
09/11/2011;Banks;-734;8788
09/11/2011;Brokers & Dealers;-141;7284
09/11/2011;Other;-6;82
09/11/2011;Institutional Investors;-1252;-29231
09/11/2011;Domestic;-1252;-29231
09/11/2011;Nonresident Investors;2994;17657
09/11/2011;Nonresident investors - RES.2689;2994;17657
09/11/2011;Corporations;-55;1790
09/11/2011;Individuals;-806;-6370
09/11/2011;Total;0;0
10/11/2011;Financial Institutions;-298;15856
10/11/2011;Banks;-437;8351
10/11/2011;Brokers & Dealers;145;7429
10/11/2011;Other;-6;76
10/11/2011;Institutional Investors;-1469;-30700
10/11/2011;Domestic;-1469;-30700
10/11/2011;Nonresident Investors;2677;20334
10/11/2011;Nonresident investors - RES.2689;2677;20334
10/11/2011;Corporations;-228;1562
10/11/2011;Individuals;-682;-7052
10/11/2011;Total;0;0
11/11/2011;Financial Institutions;-422;15434
11/11/2011;Banks;-534;7817
11/11/2011;Brokers & Dealers;112;7541
11/11/2011;Institutional Investors;-1335;-32035
11/11/2011;Domestic;-1335;-32035
11/11/2011;Nonresident Investors;2743;23077
11/11/2011;Nonresident investors - RES.2689;2743;23077
11/11/2011;Corporations;-379;1183
11/11/2011;Individuals;-607;-7659
11/11/2011;Total;0;0
