DATA;PARTICIPANTE;SALDO;ACUMULADO
04/01/2010;Financial Institutions;176.0;176.0
04/01/2010;Banks;-2965.0;-2965.0
04/01/2010;Brokers & Dealers;-814.0;-814.0
04/01/2010;Other;3955.0;3955.0
04/01/2010;Institutional Investors;-33510.0;-33510.0
04/01/2010;Domestic;-33510.0;-33510.0
04/01/2010;Nonresident Investors;35988.0;35988.0
04/01/2010;Nonresident investors - RES.2689;35988.0;35988.0
04/01/2010;Corporations;-1000.0;-1000.0
04/01/2010;Individuals;-1654.0;-1654.0
04/01/2010;Total;0.0;0.0
05/01/2010;Financial Institutions;-817.0;-641.0
05/01/2010;Banks;-3725.0;-6690.0
05/01/2010;Brokers & Dealers;-967.0;-1781.0
05/01/2010;Other;3875.0;7830.0
05/01/2010;Institutional Investors;-36389.0;-69899.0
05/01/2010;Domestic;-36389.0;-69899.0
05/01/2010;Nonresident Investors;40130.0;76118.0
05/01/2010;Nonresident investors - RES.2689;40130.0;76118.0
05/01/2010;Corporations;-805.0;-1805.0
05/01/2010;Individuals;-2119.0;-3773.0
05/01/2010;Total;0.0;0.0
06/01/2010;Financial Institutions;-1802.0;-2443.0
06/01/2010;Banks;-4580.0;-11270.0
06/01/2010;Brokers & Dealers;-1047.0;-2828.0
06/01/2010;Other;3825.0;11655.0
06/01/2010;Institutional Investors;-40238.0;-110137.0
06/01/2010;Domestic;-40238.0;-110137.0
06/01/2010;Nonresident Investors;45114.0;121232.0
06/01/2010;Nonresident investors - RES.2689;45114.0;121232.0
06/01/2010;Corporations;-970.0;-2775.0
06/01/2010;Individuals;-2104.0;-5877.0
06/01/2010;Total;0.0;0.0
07/01/2010;Financial Institutions;-2676.0;-5119.0
07/01/2010;Banks;-5615.0;-16885.0
07/01/2010;Brokers & Dealers;-981.0;-3809.0
07/01/2010;Other;3920.0;15575.0
07/01/2010;Institutional Investors;-40265.0;-150402.0
07/01/2010;Domestic;-40265.0;-150402.0
07/01/2010;Nonresident Investors;45147.0;166379.0
07/01/2010;Nonresident investors - RES.2689;45147.0;166379.0
07/01/2010;Corporations;-827.0;-3602.0
07/01/2010;Individuals;-1379.0;-7256.0
07/01/2010;Total;0.0;0.0
08/01/2010;Financial Institutions;-909.0;-6028.0
08/01/2010;Banks;-3925.0;-20810.0
08/01/2010;Brokers & Dealers;-864.0;-4673.0
08/01/2010;Other;3880.0;19455.0
08/01/2010;Institutional Investors;-40846.0;-191248.0
08/01/2010;Domestic;-40846.0;-191248.0
08/01/2010;Nonresident Investors;43830.0;210209.0
08/01/2010;Nonresident investors - RES.2689;43830.0;210209.0
08/01/2010;Corporations;-746.0;-4348.0
08/01/2010;Individuals;-1329.0;-8585.0
08/01/2010;Total;0.0;0.0
11/01/2010;Financial Institutions;231.0;-5797.0
11/01/2010;Banks;-2655.0;-23465.0
11/01/2010;Brokers & Dealers;-1054.0;-5727.0
11/01/2010;Other;3940.0;23395.0
11/01/2010;Institutional Investors;-41863.0;-233111.0
11/01/2010;Domestic;-41863.0;-233111.0
11/01/2010;Nonresident Investors;43266.0;253475.0
11/01/2010;Nonresident investors - RES.2689;43266.0;253475.0
11/01/2010;Corporations;-565.0;-4913.0
11/01/2010;Individuals;-1069.0;-9654.0
11/01/2010;Total;0.0;0.0
12/01/2010;Financial Institutions;-372.0;-6169.0
12/01/2010;Banks;-3360.0;-26825.0
12/01/2010;Brokers & Dealers;-1032.0;-6759.0
12/01/2010;Other;4020.0;27415.0
12/01/2010;Institutional Investors;-42282.0;-275393.0
12/01/2010;Domestic;-42282.0;-275393.0
12/01/2010;Nonresident Investors;44756.0;298231.0
12/01/2010;Nonresident investors - RES.2689;44756.0;298231.0
12/01/2010;Corporations;-823.0;-5736.0
12/01/2010;Individuals;-1279.0;-10933.0
12/01/2010;Total;0.0;0.0
13/01/2010;Financial Institutions;2438.0;-3731.0
13/01/2010;Banks;-340.0;-27165.0
13/01/2010;Brokers & Dealers;-1292.0;-8051.0
13/01/2010;Other;4070.0;31485.0
13/01/2010;Institutional Investors;-40238.0;-315631.0
13/01/2010;Domestic;-40238.0;-315631.0
13/01/2010;Nonresident Investors;39746.0;337977.0
13/01/2010;Nonresident investors - RES.2689;39746.0;337977.0
13/01/2010;Corporations;-692.0;-6428.0
13/01/2010;Individuals;-1254.0;-12187.0
13/01/2010;Total;0.0;0.0
14/01/2010;Financial Institutions;5515.0;1784.0
14/01/2010;Banks;2315.0;-24850.0
14/01/2010;Brokers & Dealers;-1145.0;-9196.0
14/01/2010;Other;4345.0;35830.0
14/01/2010;Institutional Investors;-38099.0;-353730.0
14/01/2010;Domestic;-38099.0;-353730.0
14/01/2010;Nonresident Investors;34100.0;372077.0
14/01/2010;Nonresident investors - RES.2689;34100.0;372077.0
14/01/2010;Corporations;-492.0;-6920.0
14/01/2010;Individuals;-1024.0;-13211.0
14/01/2010;Total;0.0;0.0
15/01/2010;Financial Institutions;5110.0;6894.0
15/01/2010;Banks;1840.0;-23010.0
15/01/2010;Brokers & Dealers;-905.0;-10101.0
15/01/2010;Other;4175.0;40005.0
15/01/2010;Institutional Investors;-33082.0;-386812.0
15/01/2010;Domestic;-33082.0;-386812.0
15/01/2010;Nonresident Investors;28549.0;400626.0
15/01/2010;Nonresident investors - RES.2689;28549.0;400626.0
15/01/2010;Corporations;-383.0;-7303.0
15/01/2010;Individuals;-194.0;-13405.0
15/01/2010;Total;0.0;0.0
18/01/2010;Financial Institutions;4935.0;11829.0
18/01/2010;Banks;1740.0;-21270.0
18/01/2010;Brokers & Dealers;-880.0;-10981.0
18/01/2010;Other;4075.0;44080.0
18/01/2010;Institutional Investors;-32010.0;-418822.0
18/01/2010;Domestic;-32010.0;-418822.0
18/01/2010;Nonresident Investors;28102.0;428728.0
18/01/2010;Nonresident investors - RES.2689;28102.0;428728.0
18/01/2010;Corporations;-363.0;-7666.0
18/01/2010;Individuals;-664.0;-14069.0
18/01/2010;Total;0.0;0.0
19/01/2010;Financial Institutions;1720.0;13549.0
19/01/2010;Banks;-915.0;-22185.0
19/01/2010;Brokers & Dealers;-954.0;-11935.0
19/01/2010;Other;3589.0;47669.0
19/01/2010;Institutional Investors;-29993.0;-448815.0
19/01/2010;Domestic;-29993.0;-448815.0
19/01/2010;Nonresident Investors;30069.0;458797.0
19/01/2010;Nonresident investors - RES.2689;30069.0;458797.0
19/01/2010;Corporations;-677.0;-8343.0
19/01/2010;Individuals;-1119.0;-15188.0
19/01/2010;Total;0.0;0.0
20/01/2010;Financial Institutions;1934.0;15483.0
20/01/2010;Banks;-1865.0;-24050.0
20/01/2010;Brokers & Dealers;-141.0;-12076.0
20/01/2010;Other;3940.0;51609.0
20/01/2010;Institutional Investors;-24417.0;-473232.0
20/01/2010;Domestic;-24417.0;-473232.0
20/01/2010;Nonresident Investors;21843.0;480640.0
20/01/2010;Nonresident investors - RES.2689;21843.0;480640.0
20/01/2010;Corporations;-266.0;-8609.0
20/01/2010;Individuals;906.0;-14282.0
20/01/2010;Total;0.0;0.0
21/01/2010;Financial Institutions;4812.0;20295.0
21/01/2010;Banks;900.0;-23150.0
21/01/2010;Brokers & Dealers;-88.0;-12164.0
21/01/2010;Other;4000.0;55609.0
21/01/2010;Institutional Investors;-20896.0;-494128.0
21/01/2010;Domestic;-20896.0;-494128.0
21/01/2010;Nonresident Investors;14355.0;494995.0
21/01/2010;Nonresident investors - RES.2689;14355.0;494995.0
21/01/2010;Corporations;-267.0;-8876.0
21/01/2010;Individuals;1996.0;-12286.0
21/01/2010;Total;0.0;0.0
22/01/2010;Financial Institutions;3633.0;23928.0
22/01/2010;Banks;-370.0;-23520.0
22/01/2010;Brokers & Dealers;8.0;-12156.0
22/01/2010;Other;3995.0;59604.0
22/01/2010;Institutional Investors;-21229.0;-515357.0
22/01/2010;Domestic;-21229.0;-515357.0
22/01/2010;Nonresident Investors;16702.0;511697.0
22/01/2010;Nonresident investors - RES.2689;16702.0;511697.0
22/01/2010;Corporations;-387.0;-9263.0
22/01/2010;Individuals;1281.0;-11005.0
22/01/2010;Total;0.0;0.0
26/01/2010;Financial Institutions;1425.0;25353.0
26/01/2010;Banks;-2330.0;-25850.0
26/01/2010;Brokers & Dealers;-335.0;-12491.0
26/01/2010;Other;4090.0;63694.0
26/01/2010;Institutional Investors;-23406.0;-538763.0
26/01/2010;Domestic;-23406.0;-538763.0
26/01/2010;Nonresident Investors;20867.0;532564.0
26/01/2010;Nonresident investors - RES.2689;20867.0;532564.0
26/01/2010;Corporations;-347.0;-9610.0
26/01/2010;Individuals;1461.0;-9544.0
26/01/2010;Total;0.0;0.0
27/01/2010;Financial Institutions;1757.0;27110.0
27/01/2010;Banks;-1610.0;-27460.0
27/01/2010;Brokers & Dealers;-498.0;-12989.0
27/01/2010;Other;3865.0;67559.0
27/01/2010;Institutional Investors;-20824.0;-559587.0
27/01/2010;Domestic;-20824.0;-559587.0
27/01/2010;Nonresident Investors;17508.0;550072.0
27/01/2010;Nonresident investors - RES.2689;17508.0;550072.0
27/01/2010;Corporations;-7.0;-9617.0
27/01/2010;Individuals;1566.0;-7978.0
27/01/2010;Total;0.0;0.0
28/01/2010;Financial Institutions;2173.0;29283.0
28/01/2010;Banks;-1260.0;-28720.0
28/01/2010;Brokers & Dealers;-412.0;-13401.0
28/01/2010;Other;3845.0;71404.0
28/01/2010;Institutional Investors;-15274.0;-574861.0
28/01/2010;Domestic;-15274.0;-574861.0
28/01/2010;Nonresident Investors;12743.0;562815.0
28/01/2010;Nonresident investors - RES.2689;12743.0;562815.0
28/01/2010;Corporations;-313.0;-9930.0
28/01/2010;Individuals;671.0;-7307.0
28/01/2010;Total;0.0;0.0
29/01/2010;Financial Institutions;1499.0;30782.0
29/01/2010;Banks;-1585.0;-30305.0
29/01/2010;Brokers & Dealers;-436.0;-13837.0
29/01/2010;Other;3520.0;74924.0
29/01/2010;Institutional Investors;-13751.0;-588612.0
29/01/2010;Domestic;-13751.0;-588612.0
29/01/2010;Nonresident Investors;11664.0;574479.0
29/01/2010;Nonresident investors - RES.2689;11664.0;574479.0
29/01/2010;Corporations;-383.0;-10313.0
29/01/2010;Individuals;971.0;-6336.0
29/01/2010;Total;0.0;0.0
01/02/2010;Financial Institutions;2888.0;33670.0
01/02/2010;Banks;45.0;-30260.0
01/02/2010;Brokers & Dealers;-462.0;-14299.0
01/02/2010;Other;3305.0;78229.0
01/02/2010;Institutional Investors;-14508.0;-603120.0
01/02/2010;Domestic;-14508.0;-603120.0
01/02/2010;Nonresident Investors;11672.0;586151.0
