DATA;PARTICIPANTE;SALDO;ACUMULADO
04/01/2010;Financial Institutions;844.0;844.0
04/01/2010;Banks;15.0;15.0
04/01/2010;Brokers & Dealers;829.0;829.0
04/01/2010;Institutional Investors;35.0;35.0
04/01/2010;Domestic;35.0;35.0
04/01/2010;Nonresident Investors;1993.0;1993.0
04/01/2010;Nonresident investors - RES.2689;1993.0;1993.0
04/01/2010;Corporations;-897.0;-897.0
04/01/2010;Individuals;-1975.0;-1975.0
04/01/2010;Total;0.0;0.0
05/01/2010;Financial Institutions;874.0;1718.0
05/01/2010;Banks;5.0;20.0
05/01/2010;Brokers & Dealers;869.0;1698.0
05/01/2010;Institutional Investors;446.0;481.0
05/01/2010;Domestic;446.0;481.0
05/01/2010;Nonresident Investors;1260.0;3253.0
05/01/2010;Nonresident investors - RES.2689;1260.0;3253.0
05/01/2010;Corporations;-661.0;-1558.0
05/01/2010;Individuals;-1919.0;-3894.0
05/01/2010;Total;0.0;0.0
06/01/2010;Financial Institutions;904.0;2622.0
06/01/2010;Brokers & Dealers;904.0;2602.0
06/01/2010;Institutional Investors;1171.0;1652.0
06/01/2010;Domestic;1171.0;1652.0
06/01/2010;Nonresident Investors;659.0;3912.0
06/01/2010;Nonresident investors - RES.2689;659.0;3912.0
06/01/2010;Corporations;-837.0;-2395.0
06/01/2010;Individuals;-1897.0;-5791.0
06/01/2010;Total;0.0;0.0
07/01/2010;Financial Institutions;814.0;3436.0
07/01/2010;Banks;15.0;35.0
07/01/2010;Brokers & Dealers;799.0;3401.0
07/01/2010;Institutional Investors;1234.0;2886.0
07/01/2010;Domestic;1234.0;2886.0
07/01/2010;Nonresident Investors;344.0;4256.0
07/01/2010;Nonresident investors - RES.2689;344.0;4256.0
07/01/2010;Corporations;-711.0;-3106.0
07/01/2010;Individuals;-1681.0;-7472.0
07/01/2010;Total;0.0;0.0
08/01/2010;Financial Institutions;854.0;4290.0
08/01/2010;Banks;25.0;60.0
08/01/2010;Brokers & Dealers;829.0;4230.0
08/01/2010;Institutional Investors;-623.0;2263.0
08/01/2010;Domestic;-623.0;2263.0
08/01/2010;Nonresident Investors;1819.0;6075.0
08/01/2010;Nonresident investors - RES.2689;1819.0;6075.0
08/01/2010;Corporations;-696.0;-3802.0
08/01/2010;Individuals;-1354.0;-8826.0
08/01/2010;Total;0.0;0.0
11/01/2010;Financial Institutions;919.0;5209.0
11/01/2010;Banks;40.0;100.0
11/01/2010;Brokers & Dealers;879.0;5109.0
11/01/2010;Institutional Investors;-965.0;1298.0
11/01/2010;Domestic;-965.0;1298.0
11/01/2010;Nonresident Investors;903.0;6978.0
11/01/2010;Nonresident investors - RES.2689;903.0;6978.0
11/01/2010;Corporations;-368.0;-4170.0
11/01/2010;Individuals;-489.0;-9315.0
11/01/2010;Total;0.0;0.0
12/01/2010;Financial Institutions;856.0;6065.0
12/01/2010;Banks;-35.0;65.0
12/01/2010;Brokers & Dealers;891.0;6000.0
12/01/2010;Institutional Investors;-894.0;404.0
12/01/2010;Domestic;-894.0;404.0
12/01/2010;Nonresident Investors;1151.0;8129.0
12/01/2010;Nonresident investors - RES.2689;1151.0;8129.0
12/01/2010;Corporations;-632.0;-4802.0
12/01/2010;Individuals;-481.0;-9796.0
12/01/2010;Total;0.0;0.0
13/01/2010;Financial Institutions;866.0;6931.0
13/01/2010;Banks;-15.0;50.0
13/01/2010;Brokers & Dealers;881.0;6881.0
13/01/2010;Institutional Investors;-753.0;-349.0
13/01/2010;Domestic;-753.0;-349.0
13/01/2010;Nonresident Investors;981.0;9110.0
13/01/2010;Nonresident investors - RES.2689;981.0;9110.0
13/01/2010;Corporations;-680.0;-5482.0
13/01/2010;Individuals;-414.0;-10210.0
13/01/2010;Total;0.0;0.0
14/01/2010;Financial Institutions;807.0;7738.0
14/01/2010;Banks;-75.0;-25.0
14/01/2010;Brokers & Dealers;882.0;7763.0
14/01/2010;Institutional Investors;-1880.0;-2229.0
14/01/2010;Domestic;-1880.0;-2229.0
14/01/2010;Nonresident Investors;931.0;10041.0
14/01/2010;Nonresident investors - RES.2689;931.0;10041.0
14/01/2010;Corporations;-100.0;-5582.0
14/01/2010;Individuals;242.0;-9968.0
14/01/2010;Total;0.0;0.0
15/01/2010;Financial Institutions;786.0;8524.0
15/01/2010;Banks;-140.0;-165.0
15/01/2010;Brokers & Dealers;930.0;8693.0
15/01/2010;Other;-4.0;-4.0
15/01/2010;Institutional Investors;-2399.0;-4628.0
15/01/2010;Domestic;-2399.0;-4628.0
15/01/2010;Nonresident Investors;351.0;10392.0
15/01/2010;Nonresident investors - RES.2689;351.0;10392.0
15/01/2010;Corporations;168.0;-5414.0
15/01/2010;Individuals;1094.0;-8874.0
15/01/2010;Total;0.0;0.0
18/01/2010;Financial Institutions;865.0;9389.0
18/01/2010;Banks;-95.0;-260.0
18/01/2010;Brokers & Dealers;960.0;9653.0
18/01/2010;Institutional Investors;-1251.0;-5879.0
18/01/2010;Domestic;-1251.0;-5879.0
18/01/2010;Nonresident Investors;307.0;10699.0
18/01/2010;Nonresident investors - RES.2689;307.0;10699.0
18/01/2010;Corporations;-71.0;-5485.0
18/01/2010;Individuals;150.0;-8724.0
18/01/2010;Total;0.0;0.0
19/01/2010;Financial Institutions;774.0;10163.0
19/01/2010;Banks;-70.0;-330.0
19/01/2010;Brokers & Dealers;844.0;10497.0
19/01/2010;Institutional Investors;-1909.0;-7788.0
19/01/2010;Domestic;-1909.0;-7788.0
19/01/2010;Nonresident Investors;3129.0;13828.0
19/01/2010;Nonresident investors - RES.2689;3129.0;13828.0
19/01/2010;Corporations;-613.0;-6098.0
19/01/2010;Individuals;-1381.0;-10105.0
19/01/2010;Total;0.0;0.0
20/01/2010;Financial Institutions;739.0;10902.0
20/01/2010;Banks;-70.0;-400.0
20/01/2010;Brokers & Dealers;809.0;11306.0
20/01/2010;Institutional Investors;-4780.0;-12568.0
20/01/2010;Domestic;-4780.0;-12568.0
20/01/2010;Nonresident Investors;2468.0;16296.0
20/01/2010;Nonresident investors - RES.2689;2468.0;16296.0
20/01/2010;Corporations;649.0;-5449.0
20/01/2010;Individuals;924.0;-9181.0
20/01/2010;Total;0.0;0.0
