DATA;PARTICIPANTE;SALDO;ACUMULADO
04/01/2010;Financial Institutions;-145511.0;-145511.0
04/01/2010;Banks;-182171.0;-182171.0
04/01/2010;Brokers & Dealers;40.0;40.0
04/01/2010;Other;36620.0;36620.0
04/01/2010;Institutional Investors;19448.0;19448.0
04/01/2010;Domestic;19448.0;19448.0
04/01/2010;Nonresident Investors;106293.0;106293.0
04/01/2010;Nonresident investors - RES.2689;106293.0;106293.0
04/01/2010;Corporations;19385.0;19385.0
04/01/2010;Individuals;385.0;385.0
04/01/2010;Total;0.0;0.0
05/01/2010;Financial Institutions;-132541.0;-278052.0
05/01/2010;Banks;-169211.0;-351382.0
05/01/2010;Brokers & Dealers;50.0;90.0
05/01/2010;Other;36620.0;73240.0
05/01/2010;Institutional Investors;16234.0;35682.0
05/01/2010;Domestic;16234.0;35682.0
05/01/2010;Nonresident Investors;96847.0;203140.0
05/01/2010;Nonresident investors - RES.2689;96847.0;203140.0
05/01/2010;Corporations;19095.0;38480.0
05/01/2010;Individuals;365.0;750.0
05/01/2010;Total;0.0;0.0
06/01/2010;Financial Institutions;-123611.0;-401663.0
06/01/2010;Banks;-160336.0;-511718.0
06/01/2010;Brokers & Dealers;105.0;195.0
06/01/2010;Other;36620.0;109860.0
06/01/2010;Institutional Investors;12375.0;48057.0
06/01/2010;Domestic;12375.0;48057.0
06/01/2010;Nonresident Investors;91636.0;294776.0
06/01/2010;Nonresident investors - RES.2689;91636.0;294776.0
06/01/2010;Corporations;19275.0;57755.0
06/01/2010;Individuals;325.0;1075.0
06/01/2010;Total;0.0;0.0
07/01/2010;Financial Institutions;-110731.0;-512394.0
07/01/2010;Banks;-147366.0;-659084.0
07/01/2010;Brokers & Dealers;15.0;210.0
07/01/2010;Other;36620.0;146480.0
07/01/2010;Institutional Investors;14476.0;62533.0
07/01/2010;Domestic;14476.0;62533.0
07/01/2010;Nonresident Investors;79080.0;373856.0
07/01/2010;Nonresident investors - RES.2689;79080.0;373856.0
07/01/2010;Corporations;17410.0;75165.0
07/01/2010;Individuals;-235.0;840.0
07/01/2010;Total;0.0;0.0
08/01/2010;Financial Institutions;-110341.0;-622735.0
08/01/2010;Banks;-146976.0;-806060.0
08/01/2010;Brokers & Dealers;15.0;225.0
08/01/2010;Other;36620.0;183100.0
08/01/2010;Institutional Investors;16872.0;79405.0
08/01/2010;Domestic;16872.0;79405.0
08/01/2010;Nonresident Investors;74914.0;448770.0
08/01/2010;Nonresident investors - RES.2689;74914.0;448770.0
08/01/2010;Corporations;18195.0;93360.0
08/01/2010;Individuals;360.0;1200.0
08/01/2010;Total;0.0;0.0
11/01/2010;Financial Institutions;-110711.0;-733446.0
11/01/2010;Banks;-147336.0;-953396.0
11/01/2010;Brokers & Dealers;-5.0;220.0
11/01/2010;Other;36630.0;219730.0
11/01/2010;Institutional Investors;12283.0;91688.0
11/01/2010;Domestic;12283.0;91688.0
11/01/2010;Nonresident Investors;76633.0;525403.0
11/01/2010;Nonresident investors - RES.2689;76633.0;525403.0
11/01/2010;Corporations;21840.0;115200.0
11/01/2010;Individuals;-45.0;1155.0
11/01/2010;Total;0.0;0.0
12/01/2010;Financial Institutions;-110268.0;-843714.0
12/01/2010;Banks;-150901.0;-1104297.0
12/01/2010;Brokers & Dealers;3.0;223.0
12/01/2010;Other;40630.0;260360.0
12/01/2010;Institutional Investors;6721.0;98409.0
12/01/2010;Domestic;6721.0;98409.0
12/01/2010;Nonresident Investors;83687.0;609090.0
12/01/2010;Nonresident investors - RES.2689;83687.0;609090.0
12/01/2010;Corporations;20670.0;135870.0
12/01/2010;Individuals;-810.0;345.0
12/01/2010;Total;0.0;0.0
13/01/2010;Financial Institutions;-96958.0;-940672.0
13/01/2010;Banks;-143651.0;-1247948.0
13/01/2010;Brokers & Dealers;53.0;276.0
13/01/2010;Other;46640.0;307000.0
13/01/2010;Institutional Investors;-11226.0;87183.0
13/01/2010;Domestic;-11226.0;87183.0
13/01/2010;Nonresident Investors;85604.0;694694.0
13/01/2010;Nonresident investors - RES.2689;85604.0;694694.0
13/01/2010;Corporations;22970.0;158840.0
13/01/2010;Individuals;-390.0;-45.0
13/01/2010;Total;0.0;0.0
14/01/2010;Financial Institutions;-118603.0;-1059275.0
14/01/2010;Banks;-168491.0;-1416439.0
14/01/2010;Brokers & Dealers;73.0;349.0
14/01/2010;Other;49815.0;356815.0
14/01/2010;Institutional Investors;-6543.0;80640.0
14/01/2010;Domestic;-6543.0;80640.0
14/01/2010;Nonresident Investors;97381.0;792075.0
14/01/2010;Nonresident investors - RES.2689;97381.0;792075.0
14/01/2010;Corporations;28075.0;186915.0
14/01/2010;Individuals;-310.0;-355.0
14/01/2010;Total;0.0;0.0
